,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
923,922,"Triple-S Salud, Inc.",18.220833,-66.590149,PR,"Triple-C, Inc.",8000,10/3/2008,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-24,,2008-10-03,NA,2008
964,963,Iowa Dept. of Human Services,41.878003,-93.097702,IA,,2042,12/1/2008,Other,"Laptop, E-mail, Other Portable Electronic Device",2014-04-21,,2008-12-01,NA,2008
976,975,"HealthPartners, Inc.",46.729553,-94.6859,MN,,27839,1/7/2008,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-06-20,,2008-01-07,NA,2008
977,976,"Group Health Plan, Inc. Medical Benefit Plan",46.729553,-94.6859,MN,"HealthPartners Administrators, Inc.",796,1/7/2008,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,,2008-01-07,NA,2008
978,977,State Employee Group Insurance Plan,46.729553,-94.6859,MN,"HealthPartners Administrators, Inc.",1699,1/7/2008,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,,2008-01-07,NA,2008
979,978,University of Minnesota Employee Benefits,46.729553,-94.6859,MN,"HealthPartners Administrators, Inc.",715,1/7/2008,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,,2008-01-07,NA,2008
1,0,Brooke Army Medical Center,31.968599,-99.901813,TX,,1000,10/16/2009,Theft,Paper,2014-06-30,"A binder containing the protected health information (PHI) of up to 1,272 individuals was stolen from a staff member's vehicle.  The PHI included names, telephone numbers, detailed treatment notes, and possibly social security numbers.  In response to the breach, the covered entity (CE) sanctioned the workforce member and developed a new policy requiring on-call staff members to submit any information created during their shifts to the main office instead of adding it to the binder.  Following OCR's investigation, the CE notified the local media about the breach.",2009-10-16,NA,2009
2,1,"Mid America Kidney Stone Association, LLC",37.964253,-91.831833,MO,,1000,9/22/2009,Theft,Network Server,2014-05-30,"Five desktop computers containing unencrypted electronic protected health information (e-PHI) were stolen from the covered entity (CE).  Originally, the CE reported that over 500 persons were involved, but subsequent investigation showed that about 260 persons were involved.  The ePHI included demographic and financial information. The CE provided breach notification to affected individuals and HHS.  Following the breach, the CE improved physical security by installing motion detectors and alarm systems security monitoring.  It improved technical safeguards by installing enhanced antivirus and encryption software.  As a result of OCR's investigation the CE updated its computer password policy.  ",2009-09-22,NA,2009
3,2,Alaska Department of Health and Social Services,63.588753,-154.493062,AK,,501,10/12/2009,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2009-10-12,NA,2009
4,3,"Health Services for Children with Special Needs, Inc.",38.905985,-77.033418,DC,,3800,10/9/2009,Loss,Laptop,2014-01-23,"A laptop was lost by an employee while in transit on public transportation.  The computer contained the protected health information of 3800 individuals.  The protected health information involved in the breach included names, Medicaid ID numbers, dates of birth, and primary physicians.  In response to this incident, the covered entity took steps to enforce the requirements of the Privacy & Security Rules.  The covered entity has installed encryption software on all employee computers, strengthened access controls including passwords, reviewed and updated security policies and procedures, and updated it risk assessment.  In addition, all employees received additional security training.  

",2009-10-09,NA,2009
5,4,"L. Douglas Carlson, M.D.",36.778261,-119.417932,CA,,5257,9/27/2009,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity. The Computer contained certain electronic protected health information (ePHI) of 5,257 individuals who were patients of the CE.  The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the covered entity notified all 5,257 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules.

",2009-09-27,NA,2009
6,5,"David I. Cohen, MD",36.778261,-119.417932,CA,,857,9/27/2009,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen from the reception desk area, behind a locked desk area, probably while a cleaning crew had left the main door to the building open and the door to the suite was unlocked and perhaps ajar.  The Computer contained certain electronic protected health information (ePHI) of 857 patients.  The ePHI involved in the breach included names, dates of birth, and clinical information.  Following the breach, the covered entity notified all affected individuals and the media, added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer, added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet, and added administrative safeguards by requiring annual refresher retraining staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place.

",2009-09-27,NA,2009
7,6,"Michele Del Vicario, MD",36.778261,-119.417932,CA,,6145,9/27/2009,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.  The Computer contained certain electronic protected health information (ePHI) of 6,145 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all  6,145 affected individuals and the appropriate media;  added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place. 

",2009-09-27,NA,2009
8,7,"Joseph F. Lopez, MD",36.778261,-119.417932,CA,,952,9/27/2009,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09. The Computer contained certain electronic protected health information (ePHI) of 952 patients. Following the breach, the covered entity notified all 952 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of staff for Privacy and Security Rules. 

",2009-09-27,NA,2009
9,8,"Mark D. Lurie, MD",36.778261,-119.417932,CA,,5166,9/27/2009,Theft,Desktop Computer,2014-01-23,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.  The Computer contained certain electronic protected health information (ePHI) of 5,166 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all 5,166 affected indiv's and the appropriate media;  added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place. 

",2009-09-27,NA,2009
10,9,City of Hope National Medical Center,36.778261,-119.417932,CA,,5900,9/27/2009,Theft,Laptop,2014-01-23,"A laptop computer was stolen from a workforce member's car. The laptop computer contained the protected health information of approximately 5,900 individuals. Following the breach, the covered entity encrypted all protected health information stored on lap tops.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and retraining employees.

",2009-09-27,NA,2009
11,10,The Children's Hospital of Philadelphia,41.203322,-77.194525,PA,,943,10/20/2009,Theft,Laptop,2014-01-23,,2009-10-20,NA,2009
12,11,"Cogent Healthcare of Wisconsin, S.C.",35.517491,-86.580447,TN,,6400,10/11/2009,Theft,Laptop,2014-04-23,"A laptop was stolen from a locked office at the Aurora St. Lukes Medical Center.  The laptop contained protected health information pertaining to 6,400 individuals.  The information included patient names, dates of birth, social security numbers, medical record numbers, and in some cases diagnosis codes.  In response to the theft, the hospital implemented several corrective action measures, including accelerated efforts to encrypt all laptop hard drives, improved physical locks on the office where the theft occurred, staff training regarding the appropriate use and storage of devices containing ePHI, and encryption of portable flash drives and Blackberry devices.",2009-10-11,NA,2009
13,12,Universal American,43.299428,-74.217933,NY,"Democracy Data & Communications, LLC (",83000,11/12/2009,Other,Paper,2014-01-23,"In its breach report and during the course of OCR's investigation, the covered entity advised that it took various corrective actions to prevent a reoccurrence of the breach.  Specifically, the covered entity conducted a risk assessment which revealed that the breach posed a significant risk of financial, reputational, or other harm to the 83,000 members.  The covered entity sent notification letters to 83,000 members apologizing for the breach and offered a year of free credit monitoring and a $25,000 insurance policy against identity theft ($10,000 for New York residents).  The covered entity also provided training to its call centers on November 29, 2009 to answer inquiries from callers concerned about the breach.  In addition, media outlets were contacted to alert of a breach in states in which more than 500 members were impacted by the breach.  The covered entity advised that media outlets were identified based on location of membership impacted, as well as ensuring it was a major media outlet and press releases were sent to 21 major media outlets on December 18, 2009.  The covered entity also created and implemented a new policy titled 'Personal Health Information and Personal Identifiable Information Data Security and Handling Policy Acknowledgement Form'  that centralized all data requests through a 'Team Track'  which is an internal electronic submission request that ensures all PHI requested data receives the sign off of the Privacy Officer and Security Officer prior to release.  Further, the covered entity also provided a mandatory annual computer-based training to all staff in May 2010.

",2009-11-12,NA,2009
14,13,Kern Medical Center,36.778261,-119.417932,CA,,596,10/31/2009,Theft,Other,2014-01-23,,2009-10-31,NA,2009
15,14,"Keith W. Mann, DDS, PLLC",35.759573,-79.0193,NC,"Rick Lawson, Professional Computer Services",2000,12/8/2009,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",2014-01-23,,2009-12-08,NA,2009
16,15,Detroit Department of Health and Wellness Promotion,44.314844,-85.602364,MI,,10000,10/22/2009,Theft,Other Portable Electronic Device,2014-01-23,,2009-10-22,NA,2009
17,16,Detroit Department of Health and Wellness Promotion,44.314844,-85.602364,MI,,646,11/26/2009,Theft,"Laptop, Desktop Computer",2014-01-23,"A desktop and four laptop computers were stolen from the covered entity's locked facility.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, types of services received, and Medicare/Medicaid numbers.Following the breach, the covered entity installed new office door locks with assigned keys, installed security cameras with alarms, and physically secured computers to desks.  The covered entity now stores billing information in its patient management system, and it ensured that no electronic protected health information was stored locally. Additionally, OCR's investigation resulted in the covered entity providing training to workforce members regarding the incident

",2009-11-26,NA,2009
18,17,"University of California, San Francisco",36.778261,-119.417932,CA,,610,9/22/2009,Other,E-mail,2014-01-23,,2009-09-22,NA,2009
19,18,Daniel J. Sigman MD PC,42.407211,-71.382437,MA,,1860,12/11/2009,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,"Computer backup tapes containing EPHI for the office practice management program including electronic medical records were stolen from the home of the practice manager on December 11, 2009.   The breach affected approximately 1,860 patients. The protected health information on the tapes contained patients' names, addresses, telephone numbers, dates of birth, insurance information, social security numbers and medical record information.  Following the breach, Sigman took the following voluntary corrective actions: (1) upgraded software application for backup security; implemented a new external backup system in case the server goes down; (2) encryption software was implemented for data contained on both its backup tapes and network storage device; (3) revised its security policy for transporting backup media; backup tapes must now be stored in a lockbox within a locked office in its facility; the revised policy also prohibits the movement of backup tapes from the facility as well as restricts access to the tapes to designated workforce; (4) employees were retrained on the policies and procedures in place and received training on the new policies and procedures for safeguarding backup tapes; (5) notified affected individuals and the media. 

",2009-12-11,NA,2009
20,19,Massachusetts Eye and Ear Infirmary,42.407211,-71.382437,MA,,1076,11/10/2009,Theft,Other,2014-01-23,,2009-11-10,NA,2009
21,20,BlueCross BlueShield Association,38.905985,-77.033418,DC,Service Benefits Plan Administrative Services Corp,3400,10/26/2009,Theft,Paper,2014-06-30,"The covered entity's (CE) business associate (BA) incorrectly updated contract holders' addresses and mailed protected health information (PHI) to the wrong address of approximately 3,400 individuals.  The PHI involved included demographic information, explanations of benefits, clinical information, and diagnoses.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  Upon discovery of the breach, the CE obtained assurances that the BA took steps to enforce the requirements of the BA agreement.  Specifically, the BA updated its processes and created an incident tracking report.  In addition, a contract was executed for a new vendor to handle mail address verification. Following OCR's investigation, the BA improved its code review process to catch the system error that caused this incident and instituted a manual quality review process.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2009-10-26,NA,2009
22,21,BlueCross BlueShield Association,38.905985,-77.033418,DC,Merkle Direct Marketing,15000,10/7/2009,Theft,Paper,2014-04-24,"The covered entity's (CE) business associate (BA) mailed protected health information (PHI) of approximately 15,000 individuals to incorrect addresses due to an error in its quarterly address update process.  The mailing contained demographic information, explanations of benefits, clinical information, and diagnoses. Upon discovery of the breach, the CE collected the returned mail and verified that it had not been delivered, and updated its HIPAA policies and procedures. Following OCR's investigation, the CE was able to recover all or nearly all of the misdirected envelopes. ",2009-10-07,NA,2009
23,22,Kaiser Permanente Medical Care Program,36.778261,-119.417932,CA,,15500,12/1/2009,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2009-12-01,NA,2009
24,23,Blue Island Radiology Consultants,40.633125,-89.398528,IL,United Micro Data,2562,12/9/2009,Theft,Other,2014-06-30,"The covered entity's (CE's) business associate (BA) mailed a package to the CE that was supposed to contain a backup data tape and compact disc containing protected health information (PHI); however, the tape was not in the package when delivered.  Approximately 2,000 individuals were affected by the breach. The PHI included demographic, financial, and clinical information.  The CE provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE revised its procedures for back up data storage instead of sending tapes via the mail.  Following OCR's investigation, the CE continued to reevaluate ways to enhance administrative, physical, and technical safeguards.

",2009-12-09,NA,2009
25,24,"Goodwill Industries of Greater Grand Rapids, Inc.",44.314844,-85.602364,MI,,10000,12/15/2009,Theft,Other,2014-01-23,"On December 15, 2009, a safe was stolen from Goodwill's off-site facility, which contained five unencrypted back-up tapes.  The breach affected approximately 10,000 individuals.  The protected health information involved in the breach included full names, addresses, dates of birth, reasons for referral, dates of service, miscellaneous demographics, and, in some cases, Social Security numbers.  The covered entity moved the off-site storage of back-up tapes to a new site controlled by Goodwill.  The tapes are now kept in a commercial grade safe with a combination lock.  The actions taken by Goodwill prior to OCR's formal investigation brought the covered entity into compliance.  

",2009-12-15,NA,2009
26,25,Children's Medical Center of Dallas,31.968599,-99.901813,TX,,3800,11/19/2009,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2009-11-19,NA,2009
27,26,Concentra,31.968599,-99.901813,TX,,900,11/19/2009,Theft,Laptop,2014-01-23,,2009-11-19,NA,2009
29,28,Advocate Health Care,40.633125,-89.398528,IL,,812,11/24/2009,Theft,Laptop,2014-01-23,"On November 24, 2009, an Advocate nurse's laptop computer was stolen.  The missing laptop computer contained the protected health information of approximately 812 individuals.  The protected health information involved in the breach included name, address, dates of birth, social security numbers, insurance information, medication, and diagnoses. Following the breach, Advocate specifically addressed mobile device security and accepted use. Additionally, OCR's investigation resulted in Advocate workforce members that use mobile devices are now required to fill out and submit an acknowledgment form that establish proper administrative, technical, and physical security safeguards.  

",2009-11-24,NA,2009
31,30,"University of California, San Francisco",36.778261,-119.417932,CA,,7300,11/30/2009,Theft,Laptop,2014-01-23,,2009-11-30,NA,2009
33,32,Educators Mutual Insurance Association of Utah ,39.32098,-111.093731,UT,Health Behavior Innovations (HBI),5700,12/27/2009,Theft,Other,2014-01-23,,2009-12-27,NA,2009
34,33,University Medical Center of Southern Nevada,38.80261,-116.419389,NV,,5103,10/31/2009,Theft,Paper,2014-01-23,"Between the dates of July 31, 2009 and November 19, 2009, a former UMC volunteer faxed patient face sheets to an attorney who used the sheets to contact prospective clients.  Although UMC only had proof of two disclosures, it chose to notify all 5,301 individuals that could have been affected by the breach.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, and diagnoses.  Following the breach, UMC conducted an internal investigation, notified all 5,301 individuals, notified the media, and notified the Secretary.  Additionally, UMC reformulated face sheets so that they no longer include full social security numbers and provided all possible affected individuals with a year of free credit monitoring.  As a result of this breach, at least one person has been indicted on one count of conspiracy to illegally disclose personal health information in violation of the HIPAA

",2009-10-31,NA,2009
35,34,Center for Neurosciences,34.048928,-111.093731,AZ,,1100,12/15/2009,Theft,Laptop,2014-01-23,,2009-12-15,NA,2009
36,35,Brown University,41.580095,-71.477429,RI,Blue Cross Blue Shield of RI,528,12/11/2009,Other,Paper,2014-01-23,"On January 5, 2010, BCBSRI was notified that a 16 page report pertaining to Brown University's health plan was impermissibly disclosed to two other BCBSRI agents.  The reports contained the PHI of approximately 528 individuals.  The PHI involved: first and last names, dates of service, cost of medical care provided, and member identification numbers.  Following the breach, BCBSRI recovered the reports, received written assurances that any electronic copies of the reports were deleted, notified affected individuals of the breach, implemented new procedure for all outgoing correspondence, and is in the process of auditing all affected members' claim history to ensure no fraud.

",2009-12-11,NA,2009
39,38,Cardiology Consultants/Baptist Health Care Corporation,27.664827,-81.515754,FL,,8000,12/19/2009,Theft,Desktop Computer,2014-06-30,"A desktop computer that contained the e-PHI of approximately 8,000 individuals was stolen from the covered entity's (CE) locked medical suite.  The PHI involved in the breach included names, dates of birth, medical record numbers, ultrasound information, exam dates, and reasons for the ultrasound.  The computer that was stolen used proprietary software and a special electronic key to access the PHI.  The CE provided breach notification to affected individuals, HHS, and the media and posted substitute notification on its website.  Following the breach, the CE worked with law enforcement to identify the possible suspect.  The CE upgraded its facility access controls to include proximity card readers for every location that stores PHI.  As a result of OCR's investigation the CE updated its risk analysis and carried out additional risk management activities.  



",2009-12-19,NA,2009
40,39,"State of TN, Bureau of TennCare",35.517491,-86.580447,TN,,3900,12/23/2009,Theft,Paper,2014-06-24,"The covered entity (CE) mailed the wrong information to 3,900 individuals based on a corrupted data file it received from a state agency.  The types of PHI involved were names, dates of birth, social security numbers, member identification numbers, and in some cases, diagnoses, treatments, conditions, and medications.  Following the breach, the CE immediately fixed the corrupted file and mailed corrected letters.  The CE provided breach notification to HHS, the media, and affected individuals and provided substitute notification by posting on its website.  It also offered affected individuals one year of free credit monitoring and comprehensive credit services.  The CE also worked with the state agency to implement a new procedure to improve safeguards for PHI.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-12-23,NA,2009
43,42,Advanced NeuroSpinal Care,36.778261,-119.417932,CA,,3500,12/30/2009,Theft,Network Server,2014-04-22,"A computer containing the electronic protected health information (ePHI) of 3,500 individuals was stolen from the office of a covered entity (CE).  The ePHI included patient names, addresses, dates of birth, social security numbers, driver's licenses, claims information, diagnoses, and conditions. As a result of the loss, the CE upgraded the alarm system and replaced the server housing and storage security lock-up.  The CE also notified affected individuals, the media, appropriate government agencies, and law enforcement.  In addition, the CE established an office-based hotline to assist affected individuals.  As a result of OCR's investigation, the CE has implemented regularly scheduled security risk analyses and has installed window bars, roll down shutters, four video surveillance cameras, and other physical security measures to prevent theft.",2009-12-30,NA,2009
44,43,Aspen Dental Care P.C.,39.550051,-105.782067,CO,,2500,10/4/2009,Theft,Other,2014-06-30,"A computer hard drive containing encrypted patient records was stolen from the covered entity's (CE) safe.  The hard drive contained clinical and demographic information of approximately 2,500 patients.  Following the breach, the CE provided additional training to its staff.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-10-04,NA,2009
46,45,Wyoming Department of Health,43.075968,-107.290284,WY,,9023,12/2/2009,Unauthorized Access/Disclosure ,Network Server,2014-01-23,,2009-12-02,NA,2009
64,63,"Affinity Health Plan, Inc.",43.299428,-74.217933,NY,,344579,11/24/2009,Theft,Other,2014-05-28,,2009-11-24,NA,2009
68,67,Blue Cross & Blue Shield of Rhode Island,41.580095,-71.477429,RI,,12000,12/20/2009,Theft,Paper,2014-06-30,"A covered entity (CE) donated a file cabinet containing the protected health information (PHI) of 12,000 individuals before cleaning it out.  The PHI included members' names, addresses, telephone numbers, social security numbers, and Medicare identification numbers.  The covered entity (CE) provided breach notification to HHS, the affected individuals, and media, and offered all affected individuals free credit monitoring for a period of one year.  Following the breach, the CE sanctioned the employees involved in the incident and held a mandatory training regarding the HIPAA Privacy and Security Rule for all departments involved in the breach. The CE also revised the policy for office moves.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-12-20,NA,2009
74,73,South Texas Veterans Health Care System,31.968599,-99.901813,TX,,1430,9/30/2009,"Loss, Improper Disposal",Paper,2014-01-23,,2009-09-30,NA,2009
87,86,Omaha Construction Industry Health and Welfare Plan,41.492537,-99.901813,NE,DeBoer & Associates,800,1/11/2009,Theft,Laptop,2014-01-23,,2009-01-11,NA,2009
93,92,"AvMed, Inc.",27.664827,-81.515754,FL,,1220000,12/10/2009,Theft,Laptop,2014-06-30,"Two laptop computers with questionable encryption (each containing the electronic protected health information (ePHI) of 350,000 individuals) were stolen from the covered entity's (CE) premises.  The types of ePHI involved included demographic and clinical information, diagnoses/conditions, medications, lab results, and other treatment data.  After discovering the breach, the CE reported the theft to law enforcement and worked with the local police to recover the laptops.  As a result of OCR's investigation, the CE developed and implemented new policies and procedures to comply with the Security Rule.  The CE also provided breach notification to all affected individuals, HHS, and the media and placed an accounting of disclosures in the medical records of all affected individuals.",2009-12-10,NA,2009
123,122,The University of Texas at Arlington,31.968599,-99.901813,TX,,27000,2/19/2009,Hacking/IT Incident,Network Server,2014-01-23,"A file server at the Office of Health Services was compromised and impermissibly accessed.  The compromise potentially exposed the prescription records of 27,000 individuals to an unauthorized source.  The protected health information involved in the breach included names, addresses diagnostic codes, name of medication prescribed, medication costs and some social security numbers.  Following the discovery of the breach, UTA removed the server from the network, notified the affected individuals and notified local media.  Following the breach, the covered entity also replaced the operating system and implemented additional technical safeguards.  

",2009-02-19,NA,2009
127,126,"WellPoint, Inc.",40.551217,-85.602364,IN,,31700,11/3/2009,Hacking/IT Incident,Network Server,2014-01-23,,2009-11-03,NA,2009
158,157,Mayo Clinic,46.729553,-94.6859,MN,,1740,7/15/2009,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2009-07-15,NA,2009
186,185,"BlueCross BlueShield of Tennessee, Inc.",35.517491,-86.580447,TN,,1023209,10/2/2009,Theft,Other,2014-01-23,,2009-10-02,NA,2009
204,203,University of Tennessee Medical Center,35.517491,-86.580447,TN,,8200,9/23/2009,Improper Disposal,Paper,2014-01-23,,2009-09-23,NA,2009
337,336,Mills-Peninsula Health Services,36.778261,-119.417932,CA,,1500,11/1/2009,Unauthorized Access/Disclosure,Paper,2014-01-23,,2009-11-01,NA,2009
427,426,Molina Healthcare of California,36.778261,-119.417932,CA,,11081,9/23/2009,Other,Paper,2014-01-23,,2009-09-23,NA,2009
456,455,Motion Picture Industry Health Plans (MPI),36.778261,-119.417932,CA,,703,09/23/2009 - 12/02/2011,Other,Other,2014-02-14,,2009-09-23,2011-12-02,2009
537,536,Memorial Sloan-Kettering Cancer Center,43.299428,-74.217933,NY,,568,08/13/2009-04/12/2012,Theft,"E-mail, Other",2014-06-03,"The covered entity's (CE) staff member disclosed an unencrypted Microsoft Excel graph to a non-covered entity physician who re-disclosed it to a medical education organization to be used  in a presentation.  In addition, the medical education organization posted the presentation slides on its website.  The graph contained the protected health information (PHI) of 569 individuals and included names, telephone numbers, social security numbers, ages, cities and states of residence, medical record numbers, and clinical information.  Upon discovery of the breach, the CE ensured that the information was removed from the website and deleted, sanctioned the workforce member responsible, and retrained its workforce on the use of a data loss prevention tool and the risks of embedded PHI.  As a result of OCR's investigation, the CE provided OCR with evidence of its technical safeguards and security awareness initiatives and provided assurance that it implemented the corrective action listed above.",2009-08-13,2012-04-12,2009
715,714,University of Florida,27.664827,-81.515754,FL,,14519,03/01/2009 - 10/25/2012,"Theft, Unauthorized Access/Disclosure, Other",Network Server,2014-01-23,,2009-03-01,2012-10-25,2009
819,818,Missouri Department of Social Services,37.964253,-91.831833,MO,"InfoCrossing, Inc.",25461,12/21/2009 - 06/07/2013,Unauthorized Access/Disclosure,Paper,2014-02-12,,2009-12-21,2013-06-07,2009
